Feature,Description
"WALLSMATERIAL_MODE_Stone, brick","Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
WALLSMATERIAL_MODE_Wooden,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
EMERGENCYSTATE_MODE_No,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
EMERGENCYSTATE_MODE_Yes,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
active_credit,Amount of active credit the client has
active_debt,Amount of active debt the client has
active_products,Number of active products the client has
credit_card,Number of active credit cards the client has
mortgage,Number of mortgages the client has
days_overdue,The number of days overdue the client was in total.
credit_sum_overdue,The sum of all credits that were overdue for the client
status,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,… [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,… 5 means DPD 120+ or sold or written off ] )"
paid_in_full,"Whether all payments where made in full, leftover value"
pmt_tardiness,Total value how early or late the client made payments
amt_balance,"Balance during the month of previous credit, summed over the history"
amt_balance_0_1_year,"Balance during the month of previous credit, summed over the last 1 year"
amt_balance_1_2_year,"Balance during the month of previous credit, summed over the period between 1-2 years ago"
amt_recivable,Amount receivable on the previous credit
dpd,Days past due
credit_limit,The last reported credit limit for the client
